canonical_duty_id,sentence_text,sentence_text_norm
fe3cd266628e281e4459f002a86ad8cda4866048,"Performs hot armament procedures, loading armament and pyrotechnics.",performs hot armament procedures  loading armament and pyrotechnics
a4818bd94b59c3e9c3b41314f4c12c5912196b79,Uses extensive knowledge of ballistic characteristics to ensure maximum economy of force and target effectiveness.,uses extensive knowledge of ballistic characteristics to ensure maximum economy of force and target effectiveness
5427e08064057b34bbc233dcdc70018430f00078,"Performs pre-flight visual inspections and operational checks of alternate insertion/extraction, hoist, cargo sling and fire-fighting systems in accordance with flight manual procedures.",performs pre flight visual inspections and operational checks of alternate insertion extraction  hoist  cargo sling and fire fighting systems in accordance with flight manual procedures
818f2770a0c6f96b49c4089f013b18da622c6aba,"Acts as a day or night scanner, advising the crew of threats and obstacles during approach, landing, and hovering flight.",acts as a day or night scanner  advising the crew of threats and obstacles during approach  landing  and hovering flight
fbdfbb91657aaed7c4b3476a793a919fd402eeaf,"Clears path and directs the aircraft position changes to ensure safe landing/insertion/extraction over water, unprepared surfaces, confined urban areas, firefighting, aerial gunnery, and on ships underway.",clears path and directs the aircraft position changes to ensure safe landing insertion extraction over water  unprepared surfaces  confined urban areas  firefighting  aerial gunnery  and on ships underway
7ddf856058680b55a215d943debe02c45689e314,"Conducts/operates alternate insertion/extraction equipment to include fast rope, rope ladder, rappel systems and rescue hoist.",conducts operates alternate insertion extraction equipment to include fast rope  rope ladder  rappel systems and rescue hoist
ff0a08a4de447bab69c999f25c2d4d3d1ac4eb57,"Acts as a safetyman for personnel deployment and recovery operations with rappel, fast rope, rope ladder, boat-drop, and paradrop.",acts as a safetyman for personnel deployment and recovery operations with rappel  fast rope  rope ladder  boat drop  and paradrop
5c2817ab8941073383489e49afb160cdb6b417de,"2.1 Duties include operating, maintaining, repairing, and testing airborne and RPA systems to include communications, electro-optical sensors, radar, computers, navigation, electronic warfare (EW), tactical datalinks, electromagnetic spectrum operations (EMSO) and airborne network systems.",2 1 duties include operating  maintaining  repairing  and testing airborne and rpa systems to include communications  electro optical sensors  radar  computers  navigation  electronic warfare  ew   tactical datalinks  electromagnetic spectrum operations  emso  and airborne network systems
4b43ebad685a7f33d37bbdb82729bba37b57f10a,"Collects and interprets mission data, employs sensors to actively and/or passively acquire, track, and monitor airborne, maritime, and ground objects.",collects and interprets mission data  employs sensors to actively and or passively acquire  track  and monitor airborne  maritime  and ground objects
cbf2ad156ad6e429ce6d2df616977b41b1801af4,"Mission types may include air interdiction (AI), air operations in maritime surface warfare (AOMSW), close air support (CAS), personnel recovery (PR), and conducts intelligence, surveillance and reconnaissance (ISR).
2.2 Supports air and ground-based operations to validate targets and threats using various sensors, systems, and munitions to conduct multiple mission sets.",mission types may include air interdiction  ai   air operations in maritime surface warfare  aomsw   close air support  cas   personnel recovery  pr   and conducts intelligence  surveillance and reconnaissance  isr   2 2 supports air and ground based operations to validate targets and threats using various sensors  systems  and munitions to conduct multiple mission sets
8cb579336f4fee4e14ca1f62bb226cdb3652114e,Monitors radio communications and analyzes intelligence data to direct aircraft position to assist in navigation and fire control planning.,monitors radio communications and analyzes intelligence data to direct aircraft position to assist in navigation and fire control planning
d97010f20908e83e5f9c790a2054569c37c474a0,"Interprets charts, imagery, and video data supporting relay of information to various agencies to provide real-time mission data, threat, and target updates.",interprets charts  imagery  and video data supporting relay of information to various agencies to provide real time mission data  threat  and target updates
7fbf27b6ef49ae5e25fcd37404784077e934b4c9,"Coordinates with airborne, ground, and maritime agencies in relaying identification data of operational targets or threats.
2.3 Plans and operates datalink operations for the area of responsibility to create a single integrated common operating picture.",coordinates with airborne  ground  and maritime agencies in relaying identification data of operational targets or threats  2 3 plans and operates datalink operations for the area of responsibility to create a single integrated common operating picture
eaf8eaff4136c8f85ca1df8331dee61786ddbeb6,"Performs surveillance, identification, tactical data link, and data management functions.",performs surveillance  identification  tactical data link  and data management functions
25e91daf3cff63a28a6b8c7195cfb8332fcb0fb6,Interprets radar data presentation to generate console displays.,interprets radar data presentation to generate console displays
c74e835e0d1d71239ebba71560c07a3b3e45fd4e,Compares and reports track positions based on flight data.,compares and reports track positions based on flight data
9557b2f2795ca6711081b8cdb4d7da8f2d819e30,"Maintains logs, forms, and database files of aircraft and missions.
2.4 Performs interior and exterior aircraft scanner duties.",maintains logs  forms  and database files of aircraft and missions  2 4 performs interior and exterior aircraft scanner duties
678f82f5501444cd72269009a68ce26e2339847a,Performs and supervises operations and maintenance of airborne mission equipment.,performs and supervises operations and maintenance of airborne mission equipment
59cdff42e9c3fefc829a7313eaf6c046ba19c173,Establishes and maintains voice and data communications circuits and links.,establishes and maintains voice and data communications circuits and links
f06595a2486ffb487abf71a0b6e0c50bf4683fa5,"Manages systems including radio, audio distribution, switching, data, cryptologic, anti-jam, satellite communications, radar, identification friend or foe, recording and playback, multiplex, intercept, analysis, recording, broadcasting, imaging, computer, and network equipment (including ancillary equipment).",manages systems including radio  audio distribution  switching  data  cryptologic  anti jam  satellite communications  radar  identification friend or foe  recording and playback  multiplex  intercept  analysis  recording  broadcasting  imaging  computer  and network equipment  including ancillary equipment
c9f3104331af81de7f642321586bc600c27cc824,Monitors mission equipment status and troubleshoots malfunctions.,monitors mission equipment status and troubleshoots malfunctions
fca023dc43e12a9b75ccb9f4b877478ff881c472,"Configures systems for mission control and monitors aircraft, ensuring adherence to procedural checklists and regulations.",configures systems for mission control and monitors aircraft  ensuring adherence to procedural checklists and regulations
b232d3dc5adb735d40b0662e521b95c36db2e4fb,Responsible for crew and passenger safety.,responsible for crew and passenger safety
302bb49c1420a6ba8c726ca13d96d4f47d47b2fa,Reports aircraft status to the aircraft commander.,reports aircraft status to the aircraft commander
36de6bc6bbef3d97be25adc3b6a42c2277a26ad1,"May also complete required aircraft servicing in austere locations.
2.5 Establishes and directs aircrew training.",may also complete required aircraft servicing in austere locations  2 5 establishes and directs aircrew training
6aea8b77f28f167efc6b5828ebace4f9936e585b,"Supervises, instructs and evaluates aircrew members.",supervises  instructs and evaluates aircrew members
99bedae9b85c9ccad13b329d1ebac256d3074fd8,"Develops instruction for equipment operations, maintenance, and troubleshooting, ensuring standardized procedures.",develops instruction for equipment operations  maintenance  and troubleshooting  ensuring standardized procedures
31fd99ae1f07c81c3a48ba89106330722832e53c,"Identifies training needs, oversees training programs, validates instructional methods and arranges remedial and continuation training.
2.6 Manages operational and maintenance functions.",identifies training needs  oversees training programs  validates instructional methods and arranges remedial and continuation training  2 6 manages operational and maintenance functions
2fe29f40c19d9b0f980d91eb3b0ec4f3ac2732ec,"Maintains records, solves complex operational problems, and recommends maintenance and operational enhancements.",maintains records  solves complex operational problems  and recommends maintenance and operational enhancements
d573169a6d4358b235faad0c262a93879ed183f7,"Advises developers on system operations and maintenance to support acquisition, development, and updates of aircraft systems.",advises developers on system operations and maintenance to support acquisition  development  and updates of aircraft systems
ff78c5ddd44319868ff286d825acd2c831eb2afa,"Leads, manages, and directs personnel in support of Airborne ISR operations including development, exploitation, evaluation, and production of intelligence information and the dissemination of products to support warfighting operations and other activities.",leads  manages  and directs personnel in support of airborne isr operations including development  exploitation  evaluation  and production of intelligence information and the dissemination of products to support warfighting operations and other activities
8fbee92ca785902277e28eb34be706977790ba21,"Monitors mission readiness, personnel health, training, certifications, and evaluations to identify gaps that may affect mission execution",monitors mission readiness  personnel health  training  certifications  and evaluations to identify gaps that may affect mission execution
545764cb4dde08e0d573cdbc59c8dee5dd6a7d31,"Plans, programs, and budgets for resources to ensure equipment availability for training and operational mission execution.",plans  programs  and budgets for resources to ensure equipment availability for training and operational mission execution
032bbf2307efc8dd9bd64082e3bd210c0f0960a1,Evaluates effectiveness of squadron programs that support Airmen or enable operations.,evaluates effectiveness of squadron programs that support airmen or enable operations
69892509474e33b596abecee9e3dc9594169d043,Analyzes national defense guidance and strategic objectives to ensure operational policy supports execution and Airmen understand roles in mission.,analyzes national defense guidance and strategic objectives to ensure operational policy supports execution and airmen understand roles in mission
484b6213df0597735b0247803e024c3f7dd9ef4d,"Can fly as primary aircrew onboard a wide variety of aircraft to operate, evaluate and manage airborne ISR information and related ground processing systems",can fly as primary aircrew onboard a wide variety of aircraft to operate  evaluate and manage airborne isr information and related ground processing systems
f6e60ce038a9cac04d7f781d05709a90f3a4496a,Performs and assists in mission planning.,performs and assists in mission planning
3d666b863793a4584cadc9d90e5f5fded08ecc88,Provides mission planning inputs to maximize mission success.,provides mission planning inputs to maximize mission success
294440b5fbf99814ff7a4b544c6e0aefa7a96c8f,Prepares and distributes operational intelligence information to crew.,prepares and distributes operational intelligence information to crew
a8bc732a13c0371fbe0f3c7562ebbb95d7e36f65,Coordinates mission profile requirements and priorities.,coordinates mission profile requirements and priorities
bd3a980018571ca18da25fabba6003941d8b7637,Prepares mission data files and technical aids.,prepares mission data files and technical aids
a08380a5f6cbeffcfcdfac66e08cd48fca7a688c,"Review status of mission aircraft, targets, and air tasking order information.",review status of mission aircraft  targets  and air tasking order information
d649b7daf9b66d6a8449f7a4649366f4c684fde8,Monitors employment of other assigned air assets and operations.,monitors employment of other assigned air assets and operations
79ce38f21d55269ed58308cf6c709809316343b4,"Processes, exploits, analyzes, and disseminates signal intelligence information in an airborne environment.",processes  exploits  analyzes  and disseminates signal intelligence information in an airborne environment
968cc4dfa9a3d219553facbfafc28b9c5ccbc95a,Operates airborne signals intelligence systems and executes mission within standard requirements.,operates airborne signals intelligence systems and executes mission within standard requirements
fc743a741d0ac0eee63850878af73ebae1f67684,Performs frequency search missions over specified portions of the radio spectrum with sophisticated computerized radio spectrum with sophisticated computerized radio receiver suites.,performs frequency search missions over specified portions of the radio spectrum with sophisticated computerized radio spectrum with sophisticated computerized radio receiver suites
7c9e3615cba7430d16ec55d379dedefc4ad26b84,Tunes and records data as needed.,tunes and records data as needed
3073299df7eb9e7ec155a148e4f903ae7264114c,"Monitors, complies, and examines signals intelligence information.",monitors  complies  and examines signals intelligence information
131ad7d338762545e11deeabc3f937312236efd5,"Translates, evaluates, and locates assigned communications.",translates  evaluates  and locates assigned communications
5f5ae8768fe63394825a0d35a95b6038aaa5b32e,Records and correlates data from displays and in-flight intelligence data and database flies to perform preliminary analysis.,records and correlates data from displays and in flight intelligence data and database flies to perform preliminary analysis
9d57f18ecad9b4fed13a3edf6776f9153203ae3d,Identifies and analyzes traffic for reportable significance.,identifies and analyzes traffic for reportable significance
c84ebcf96df285d9a6a0a7c19ec535011e708f8d,Improves analytical methods and procedures and maximizes operational effectiveness.,improves analytical methods and procedures and maximizes operational effectiveness
5c47527380e4d321e331ab720a9eae5619eb92a1,Compiles operational data for mission reports.,compiles operational data for mission reports
f60905a3e6a6bbb034fc8abf8632594d1e2910c5,"Ensures accuracy, completeness, format, and compliance with current directives and mission system performance engineering, preventive maintenance programs, and aircrew procedures.",ensures accuracy  completeness  format  and compliance with current directives and mission system performance engineering  preventive maintenance programs  and aircrew procedures
e41de457027442f968cf3667b0daba6d1b59475f,Provides threat warning and actionable intelligence to customers as required.,provides threat warning and actionable intelligence to customers as required
e268bafc9993405c90f8170023c48bad78fae82f,"Achieves and maintains situational awareness of impending/ongoing air, ground, and maritime combat operations.",achieves and maintains situational awareness of impending ongoing air  ground  and maritime combat operations
